Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-02 4:34:02 PM,,,7,11,9,3,16,GPS,2019-12-02 16:34:02+00:00
Ruksana’s iPhone,2019-12-02 4:35:38 PM,,,1,2,13,4,16,GPS,2019-12-02 16:35:38+00:00
Ruksana’s iPhone,2019-12-02 4:36:57 PM,,,6,10,16,5,32,GPS,2019-12-02 16:36:57+00:00
Ruksana’s iPhone,2019-12-02 4:38:23 PM,,,11,18,13,4,16,GPS,2019-12-02 16:38:23+00:00
Ruksana’s iPhone,2019-12-02 4:39:43 PM,,,18,29,16,5,16,GPS,2019-12-02 16:39:43+00:00
Ruksana’s iPhone,2019-12-02 4:41:17 PM,,,13,21,13,4,16,GPS,2019-12-02 16:41:17+00:00
Ruksana’s iPhone,2019-12-02 4:43:01 PM,,,1,2,16,5,16,GPS,2019-12-02 16:43:01+00:00
Ruksana’s iPhone,2019-12-02 4:44:41 PM,,,8,13,16,5,32,GPS,2019-12-02 16:44:41+00:00
Ruksana’s iPhone,2019-12-02 4:46:28 PM,,,2,3,16,5,16,GPS,2019-12-02 16:46:28+00:00
Ruksana’s iPhone,2019-12-02 4:48:36 PM,,,0,0,19,6,8,GPS,2019-12-02 16:48:36+00:00
Ruksana’s iPhone,2019-12-02 4:50:44 PM,,,2,3,19,6,16,GPS,2019-12-02 16:50:44+00:00
Ruksana’s iPhone,2019-12-02 4:52:00 PM,,,,,9,3,32,GPS,2019-12-02 16:52:00+00:00
Ruksana’s iPhone,2019-12-02 4:53:35 PM,,,1,2,19,6,32,GPS,2019-12-02 16:53:35+00:00
Ruksana’s iPhone,2019-12-02 5:00:52 PM,,,0,0,19,6,32,GPS,2019-12-02 17:00:52+00:00
Ruksana’s iPhone,2019-12-02 10:43:03 PM,,,,,16,5,65,GPS,2019-12-02 22:43:03+00:00
Name,Date,,,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-03 9:24:31 AM,,,3,5,16,5,48,GPS,2019-12-03 09:24:31+00:00
Ruksana’s iPhone,2019-12-03 9:26:46 AM,,,0,0,16,5,8,GPS,2019-12-03 09:26:46+00:00
Ruksana’s iPhone,2019-12-03 9:28:55 AM,,,1,2,16,5,16,GPS,2019-12-03 09:28:55+00:00
Ruksana’s iPhone,2019-12-03 9:29:10 AM,,,0,0,16,5,16,GPS,2019-12-03 09:29:10+00:00
Ruksana’s iPhone,2019-12-03 9:33:12 AM,,,15,24,16,5,8,GPS,2019-12-03 09:33:12+00:00
Ruksana’s iPhone,2019-12-03 9:34:28 AM,,,0,0,16,5,16,GPS,2019-12-03 09:34:28+00:00
Ruksana’s iPhone,2019-12-03 9:35:44 AM,,,5,8,16,5,8,GPS,2019-12-03 09:35:44+00:00
Ruksana’s iPhone,2019-12-03 9:37:11 AM,,,17,27,13,4,12,GPS,2019-12-03 09:37:11+00:00
Ruksana’s iPhone,2019-12-03 9:38:31 AM,,,19,31,13,4,16,GPS,2019-12-03 09:38:31+00:00
Ruksana’s iPhone,2019-12-03 9:40:02 AM,,,18,29,19,6,12,GPS,2019-12-03 09:40:02+00:00
Ruksana’s iPhone,2019-12-03 9:41:20 AM,,,2,3,19,6,12,GPS,2019-12-03 09:41:20+00:00
Ruksana’s iPhone,2019-12-03 9:42:50 AM,,,1,2,22,7,16,GPS,2019-12-03 09:42:50+00:00
